16,0.000033,0.000002,0.000002,0.000002
32,0.000030,0.000002,0.000002,0.000002
64,0.000036,0.000002,0.000002,0.000002
128,0.000046,0.000001,0.000002,0.000001
256,0.000062,0.000003,0.000002,0.000003
512,0.000048,0.000001,0.000001,0.000001
1024,0.000086,0.000001,0.000000,0.000001
2048,0.000246,0.000001,0.000001,0.000001
4096,0.000286,0.000001,0.000001,0.000001
8192,0.000973,0.000004,0.000004,0.000003
16384,0.001499,0.000001,0.000001,0.000001
32768,0.002108,0.000001,0.000001,0.000000
65536,0.005612,0.000002,0.000002,0.000004
131072,0.010123,0.000001,0.000001,0.000001
262144,0.018177,0.000002,0.000001,0.000002
524288,0.040147,0.000001,0.000001,0.000001
1048576,0.081841,0.000001,0.000002,0.000001
2097152,0.175412,0.000001,0.000001,0.000001
4194304,0.294729,0.000001,0.000001,0.000001
8388608,0.615449,0.000002,0.000001,0.000002
16777216,1.134521,0.000001,0.000001,0.000002
33554432,2.266569,0.000002,0.000001,0.000001
67108864,4.634578,0.000001,0.000001,0.000001
134217728,9.669490,0.000003,0.000002,0.000002
268435456,20.125193,0.000002,0.000002,0.000002
